sa2_code21,sa2_name21,distance_to_cbd_km
117031644,Sydney (North) - Millers Point,0.0
117031645,Sydney (South) - Haymarket,0.39689859511
117031333,Potts Point - Woolloomooloo,0.52540372199
117031329,Darlinghurst,0.5889396446099999
117031336,Surry Hills,0.8062042241299999
117031641,Pyrmont,0.87318520313
117031646,Ultimo,0.9600753683000001
117031331,Glebe - Forest Lodge,1.36274056213
117031639,Chippendale,1.4481935844699998
120021387,Balmain,1.57401826205
118011345,Paddington - Moore Park,1.6277333932
117031638,Camperdown - Darlington,1.88957950753
120021389,Lilyfield - Rozelle,1.9927560427000002
117031642,Redfern,2.08319736374
118011650,Double Bay - Darling Point,2.12231317021
121041416,Neutral Bay - Kirribilli,2.24050264336
121041417,North Sydney - Lavender Bay,2.26411798761
121041414,Crows Nest - Waverton,2.7505544725599997
120021674,Annandale (NSW),2.77838257415
117031647,Waterloo,2.78640288815
117031330,Erskineville - Alexandria,2.7979846997599997
117031640,Newtown (NSW),2.8649694603900002
118011347,Woollahra,2.9763704522
118011342,Centennial Park,3.1642323050599996
121041413,Cremorne - Cammeray,3.36590175521
118011649,Bellevue Hill,3.5248686121199997
120021675,Leichhardt,3.52930585249
121011685,Greenwich - Riverview,3.56514694254
117031648,Zetland,3.57865968733
117021327,Petersham - Stanmore,3.6239085873600003
118021564,Kensington (NSW),3.66433339403
118011341,Bondi Junction - Waverly,3.7544554886199997
121041689,Mosman - South,3.8054595833200002
118021570,Randwick - South,4.14509728947
120011385,Drummoyne - Rodd Point,4.190204969850001
117031643,Rosebery - Beaconsfield,4.21724677952
126021499,Hunters Hill - Woolwich,4.33440537757
118021569,Randwick - North,4.44564340156
117021328,Sydenham - Tempe - St Peters,4.6575258143700005
117021636,Marrickville - North,4.7842412652599995
118011346,Rose Bay - Vaucluse - Watsons Bay,4.81421754651
121011401,St Leonards - Naremburn,5.05235150463
118011339,Bondi - Tamarama - Bronte,5.207304171470001
121041688,Mosman - North,5.25000850935
120031395,Haberfield - Summer Hill,5.2549365561200005
118021565,Kingsford,5.26085942935
118011340,Bondi Beach - North Bondi,5.417534918129999
121011686,Lane Cove,5.648456411660001
117011634,Eastlakes,5.70306419502
117011635,Mascot,5.70335199591
120031394,Dulwich Hill - Lewisham,5.78633229083
118011344,Dover Heights,5.88629253316
118021651,Coogee - Clovelly,5.88781452978
121011683,Castle Cove - Northbridge,5.90050975937
120011386,Five Dock - Abbotsford,6.0348454374200005
117011323,Pagewood - Hillsdale - Daceyville,6.20534073415
117021637,Marrickville - South,6.3129746646200005
121011687,Willoughby,6.36442497038
126021498,Gladesville - Huntleys Point,6.439744425220001
120031676,Ashfield - North,6.54061500045
121011682,Artarmon,6.54722344986
117011325,Sydney Airport,6.56908522384
121011399,Chatswood (West) - Lane Cove North,7.110905223890001
118021654,South Coogee,7.159488167769999
120031677,Ashfield - South,7.23127475225
118021568,Maroubra - West,7.28925921185
120031679,Croydon,7.39001330112
117011321,Botany,7.43901630259
118021566,Maroubra - North,7.4413726232099995
119021662,Earlwood,7.6156316319899995
121011684,Chatswood - East,7.65106210198
122011418,Balgowlah - Clontarf - Seaforth,7.693493373330001
120031392,Canterbury (North) - Ashbury,7.777366497549999
119041671,Wolli Creek,7.81999602322
117011320,Banksmeadow,7.94143127972
120011383,Concord - Mortlake - Cabarita,8.037147307
119041668,Arncliffe - Bardwell Valley,8.211144365840001
126021501,North Ryde - East Ryde,8.39677333515
118021567,Maroubra - South,8.40707956266
120031393,Croydon Park - Enfield,8.535853369029999
120031678,Burwood (NSW),9.13078924817
126021724,Ryde - North,9.14226596726
122011419,Manly - Fairlight,9.254769413190001
119041380,Monterey - Brighton-le-Sands - Kyeemagh,9.33285077955
119021661,Canterbury - South,9.3558574244
121031408,Lindfield - Roseville,9.35797229503
118021653,Matraville - Chifley,9.37518361152
119021659,Campsie - North,9.48594449907
126021725,Ryde - South,9.54913189444
119041377,Kingsgrove (South) - Bardwell Park,9.60738927433
119041381,Rockdale - Banksia,9.61996538024
122031430,Manly Vale - Allambie Heights,9.62947433649
126021590,Putney,9.70363922074
122031427,Forestville - Killarney Heights,9.78874027287
117011324,Port Botany Industrial,9.87603229046
126021500,Macquarie Park - Marsfield,9.93040617701
118021652,Malabar - La Perouse,9.96476135124
119021660,Campsie - South,9.98564524729
120031680,Strathfield - East,10.008521018
120011672,Concord West - North Strathfield,10.31603194917
120031396,Homebush,10.649579306129999
119041669,Bexley - North,10.66683561773
