sa2_code21,sa2_name21,east_west
101021007,Braidwood,West
101021008,Karabar,West
101021610,Googong,West
101021611,Queanbeyan Surrounds,West
101031013,Bombala,West
101031014,Cooma,West
101031015,Cooma Surrounds,West
101031016,Jindabyne - Berridale,West
101041017,Batemans Bay,West
101041018,Batemans Bay - South,West
101041019,Bega - Tathra,West
101041020,Bega-Eden Hinterland,West
101041021,Broulee - Tomakin,West
101041022,Deua - Wadbilliga,West
101041023,Eden,West
101041024,Eurobodalla Hinterland,West
101041025,Merimbula - Tura Beach,West
101041026,Moruya - Tuross Head,West
101041027,Narooma - Bermagui,West
216031416,Shepparton - North,West
101021009,Queanbeyan,West
101021010,Queanbeyan - East,West
105011096,Walgett - Lightning Ridge,West
105021097,Broken Hill,West
105021098,Far West,West
105031099,Coonabarabran,West
101021012,Queanbeyan West - Jerrabomberra,West
105031100,Dubbo - East,West
216031418,Shepparton Surrounds - East,West
216031419,Shepparton Surrounds - West,West
216031593,Kialla,West
101051539,Goulburn,West
101051540,Goulburn Surrounds,West
101061541,Yass,West
101061542,Yass Surrounds,West
101061543,Young,West
101061544,Young Surrounds,West
102011028,Avoca Beach - Copacabana,East
102011029,Box Head - MacMasters Beach,East
102011030,Calga - Kulnura,East
102011031,Erina - Green Point,East
102011032,Gosford - Springfield,East
106011110,Dungog,East
106011111,Kurri Kurri - Abermain,East
106011112,Singleton,East
106011113,Singleton Surrounds,East
106021114,Maitland,East
106021116,Maitland - North,East
216031594,Shepparton - South East,West
217011420,Glenelg (Vic.),West
217011421,Hamilton (Vic.),West
217011422,Portland,West
217011423,Southern Grampians,West
102011033,Kariong,East
102011034,Kincumber - Picketts Valley,East
102011035,Narara,East
106031125,Williamtown - Medowie - Karuah,East
106041126,Muswellbrook,West
106041127,Muswellbrook Surrounds,East
106041128,Scone,West
106041129,Scone Surrounds,East
107011131,Dapto - Avondale,West
107011132,Horsley - Kembla Grange,West
107011133,Port Kembla Industrial,West
107011134,Unanderra - Mount Kembla,West
107011545,Berkeley - Lake Heights - Cringila,West
107011546,Port Kembla - Warrawong,West
117021636,Marrickville - North,East
102011036,Niagara Park - Lisarow,East
102011037,Point Clare - Koolewong,East
102011038,Saratoga - Davistown,East
102011039,Terrigal - North Avoca,East
102011040,Umina - Booker Bay - Patonga,East
102011041,Wamberal - Forresters Beach,East
102011042,Woy Woy - Blackwall,East
102011043,Wyoming,East
102021044,Bateau Bay - Killarney Vale,East
102021045,Blue Haven - San Remo,East
102021046,Budgewoi - Buff Point - Halekulani,East
102021047,Chittaway Bay - Tumbi Umbi,East
102021048,Gorokan - Kanwal - Charmhaven,East
102021049,Jilliby - Yarramalong,East
102021050,Lake Munmorah - Mannering Park,East
102021051,Ourimbah - Fountaindale,East
102021052,Summerland Point - Gwandalan,East
102021053,The Entrance,East
102021054,Toukley - Norah Head,East
102021055,Tuggerah - Kangy Angy,East
109031182,Deniliquin,West
109031183,Deniliquin Surrounds,West
109031184,Moama,West
109031185,Tocumwal - Finley - Jerilderie,West
110011186,Armidale,East
110011187,Armidale Surrounds - North,East
110011188,Armidale Surrounds - South,East
110011189,Walcha,East
110021190,Glen Innes,East
110021191,Inverell,East
110021192,Inverell Surrounds - East,East
110021193,Inverell Surrounds - West,West
110021194,Tenterfield,East
206041505,Melbourne CBD - West,West
102021056,Warnervale - Wadalba,East
102021057,Wyong,East
103011059,Bathurst - East,West
103011060,Bathurst Surrounds,West
103011061,Oberon,West
103011612,Bathurst - South,West
103011613,Bathurst - West,West
103021062,Condobolin,West
103021063,Cowra,West
103021064,Cowra Surrounds,West
103021065,Forbes,West
103021066,Grenfell,West
103021067,Parkes (NSW),West
103021068,Parkes Surrounds,West
103021069,West Wyalong,West
103031070,Lithgow,West
103031071,Lithgow Surrounds,West
103031072,Mudgee,West
103031073,Mudgee Surrounds - East,West
103031074,Mudgee Surrounds - West,West
103031075,Wollangambe - Wollemi,West
103041076,Blayney,West
103041077,Orange,West
103041078,Orange - North,West
103041079,Orange Surrounds,West
104011080,Grafton,East
104011081,Grafton Surrounds,East
104011082,Maclean - Yamba - Iluka,East
104021083,Bellingen,East
104021084,Coffs Harbour - North,East
104021085,Coffs Harbour - South,East
104021086,Coramba - Nana Glen - Bucca,East
104021087,Dorrigo,East
104021088,Korora - Emerald Beach,East
104021089,Sawtell - Boambee,East
104021090,Urunga,East
104021091,Woolgoolga - Arrawarra,East
105011092,Bourke - Brewarrina,West
105011093,Cobar,West
105011094,Coonamble,West
105011095,Nyngan - Warren,West
105031101,Dubbo - South,West
105031102,Dubbo - West,West
105031103,Dubbo Surrounds,West
105031104,Gilgandra,West
105031105,Narromine,West
105031106,Wellington,West
106011107,Branxton - Greta - Pokolbin,East
106011108,Cessnock,East
106011109,Cessnock Surrounds,East
106021614,East Maitland - Metford,East
106021615,Rutherford (North) - Aberglasslyn,East
106021616,Rutherford (South) - Telarah,East
106021617,Tenambit - East Maitland,East
106021618,Thornton - Millers Forest,East
106031119,Anna Bay,East
106031120,Lemon Tree Passage - Tanilba Bay,East
106031121,Nelson Bay Peninsula,East
106031122,Raymond Terrace,East
106031123,Seaham - Woodville,East
106031124,Tea Gardens - Hawks Nest,East
107011547,Windang - Primbee,West
107021135,Illawarra Catchment Reserve,West
107031136,Albion Park - Macquarie Pass,West
107031137,Albion Park Rail,West
206041509,Southbank - East,West
107031138,Kiama,West
107031139,Kiama Downs - Minnamurra,West
107031140,Kiama Hinterland - Gerringong,West
107031141,Shellharbour - Flinders,West
107031142,Shellharbour - Oak Flats,West
107031143,Warilla,West
107041144,Balgownie - Fairy Meadow,West
107041145,Corrimal - Tarrawanna - Bellambi,West
206041510,West Melbourne - Residential,West
107041146,Figtree - Keiraville,West
107041147,Helensburgh,West
107041148,Thirroul - Austinmer - Coalcliff,West
107041150,Woonona - Bulli - Russell Vale,West
